Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Dior - Homme Intense",ბრენდი,Dior,1,1,მოცულობა,100ML,1,1
"Chanel - Allure Homme Sport",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Allure Homme",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Trussardi - Donna",ბრენდი,Trussardi,1,1,მოცულობა,100ML,1,1
"Paco Rabanne - Olympea",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Le Labo - Santal 33",ბრენდი,"Le Labo",1,1,მოცულობა,50ML,1,1
"Marc Jacobs - Daisy",ბრენდი,"Marc Jacobs",1,1,მოცულობა,100ML,1,1
"Hermes - Merveilles",ბრენდი,Hermes,1,1,მოცულობა,100ML,1,1
"Mugler - Aura",ბრენდი,Mugler,1,1,მოცულობა,100ML,1,1
"Calvin Klein - Euphoria",ბრენდი,"Calvin Klein",1,1,მოცულობა,100ML,1,1
"Dior - Addict Eau Fraiche",ბრენდი,Dior,1,1,მოცულობა,50ML,1,1
"Dior - Addict Eau De Parfum",ბრენდი,Dior,1,1,მოცულობა,50ML,1,1
"Dior - Joy Intense",ბრენდი,Dior,1,1,მოცულობა,90ML,1,1
"Dior - Joy",ბრენდი,Dior,1,1,მოცულობა,90ML,1,1
"Lancome - Idole",ბრენდი,Lancome,1,1,მოცულობა,100ML,1,1
"Bvlgari - Omnia Crystalline",ბრენდი,Bvlgari,1,1,მოცულობა,100ML,1,1
"Creed - Wind Flowers",ბრენდი,Creed,1,1,მოცულობა,75ML,1,1
"Dolce&Gabbana - The One",ბრენდი,"Dolce & Gabanna",1,1,მოცულობა,100ML,1,1
"Chanel - Coco Eau de Parfum",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Allure Sensuelle",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Cristalle",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Gabrielle",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Chance Eau de Parfum",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Chanel - Chance Eau Fraiche",ბრენდი,Chanel,1,1,მოცულობა,100ML,1,1
"Dior - Miss Dior Blooming Bouquet",ბრენდი,Dior,1,1,მოცულობა,100ML,1,1
"Sospiro - Erba Pura",ბრენდი,Sospiro,1,1,მოცულობა,100ML,1,1
"Sospiro - Opera",ბრენდი,Sospiro,1,1,მოცულობა,100ML,1,1
"Mancera - Coco Vanille",ბრენდი,Mancera,1,1,მოცულობა,120ML,1,1
"Mancera - Vanille Exclusive",ბრენდი,Mancera,1,1,მოცულობა,120ML,1,1
"Mancera - Tonka Cola",ბრენდი,Mancera,1,1,მოცულობა,120ML,1,1
"Kilian - Bad Boys Are No Good But Good Boys Are No Fun",ბრენდი,Kilian,1,1,მოცულობა,100ML,1,1
"Xerjoff - Opera",ბრენდი,Xerjoff,1,1,მოცულობა,100ML,1,1
"Lancome - Magie Noire",ბრენდი,Lancome,1,1,მოცულობა,50ML,1,1
"Lancome - Climat",ბრენდი,Lancome,1,1,მოცულობა,14ML,1,1
"Versace - Crystal Noir",ბრენდი,Versace,1,1,მოცულობა,90ML,1,1
"Versace - Bright Crystal",ბრენდი,Versace,1,1,მოცულობა,90ML,1,1
"Versace - Bright Crystal Absolu",ბრენდი,Versace,1,1,მოცულობა,90ML,1,1
"Versace - Dylan Blue Femme",ბრენდი,Versace,1,1,მოცულობა,90ML,1,1
"Versace - Pour Femme Dylan Purple",ბრენდი,Versace,1,1,მოცულობა,90ML,1,1
"Marc Jacobs - Decadence Rouge Noir Edition",ბრენდი,"Marc Jacobs",1,1,მოცულობა,100ML,1,1
"Marc Jacobs - Decadence",ბრენდი,"Marc Jacobs",1,1,მოცულობა,100ML,1,1
"Burberry - Her London Dream",ბრენდი,Burberry,1,1,მოცულობა,100ML,1,1
"Burberry - Goddess",ბრენდი,Burberry,1,1,მოცულობა,100ML,1,1
"Dolce & Gabbana - Q",ბრენდი,"Dolce & Gabanna",1,1,მოცულობა,100ML,1,1
"Gucci - Bloom",ბრენდი,Gucci,1,1,მოცულობა,100ML,1,1
"Gucci - Flora Gorgeous Orchid",ბრენდი,Gucci,1,1,მოცულობა,100ML,1,1
"Gucci - Flora Gorgeous Jasmine",ბრენდი,Gucci,1,1,მოცულობა,100ML,1,1
"Gucci - Flora Gorgeous Gardenia",ბრენდი,Gucci,1,1,მოცულობა,100ML,1,1
"Louis Vuitton - Matiere Noire",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
"Louis Vuitton - Ombre Nomade",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
"Louis Vuitton - Orage",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
"Louis Vuitton - Cactus Garden",ბრენდი,"Louis Vuitton",1,1,მოცულობა,100ML,1,1
